SQUADRE;Pt;DR
Banda Bassotti;7;-4
Atletico SFN;3;-15
Bologna Blatte;6;-6
DL & DS;6;-9
Real Monzuno;7;-20
Petroniano;17;14
Whiteline;19;30
Los Stirados;16;10
